handle,contest_count,max_rating,friends_count,problem_count,rating
pnkjjindal,5,1754,57,66,1754
h.a.c.k.e.r.a.m.a.n,18,1756,37,199,1753
theDarkKnightRises,46,1744,16,164,1744
suds13,34,1742,29,97,1742
sshekh,45,1884,43,161,1721
fiery_falcon,25,1729,34,64,1716
ayushtulsyan,10,1720,20,94,1709
abhra73,35,1814,43,170,1705
sara_polyn,24,1866,31,72,1695
ankusht,28,1678,10,244,1677
patch_adams,9,1894,21,30,1671
rkjha,14,1809,26,64,1669
uspatange,16,1668,13,54,1668
pushkar12,40,1804,21,448,1666
umang-malik,21,1664,21,76,1664
gsahil,26,1766,63,222,1663
vaishious,6,1720,13,31,1660
chamanag,35,1729,28,245,1657
aarshee,18,1756,8,106,1655
amantiwari9875,38,1693,12,254,1653
prabhanshu_abhi,6,1649,8,31,1649
yoda101,6,1646,4,93,1646
Radon12,35,1730,26,177,1644
KauwaBiryani,56,1894,40,354,1642
PM1729,45,1741,25,110,1636
doublegamer26,29,1761,30,136,1634
gauskrav,26,1634,11,127,1634
sakaark,39,1965,24,141,1632
kunalkap,16,1687,43,41,1630
9vijay,6,1621,25,12,1621
abhayps,58,1836,38,258,1609
rajan20,9,1706,3,58,1602
zer0nes,51,1748,55,153,1598
khandeshb1,12,1713,5,53,1580
arru,19,1741,10,254,1577
aditya94,6,1634,5,14,1574
bhupkas,64,1710,49,203,1573
cusp,32,1589,8,256,1569
ksaurav,19,1733,22,49,1566
vijay40,20,1644,7,233,1558
RenegadeAnteater,18,1581,12,64,1554
siddhantgarg,27,1589,15,193,1552
idonthack,1,1550,5,4,1550
guptachirag15,2,1640,10,3,1546
vivkul,10,1557,9,31,1546
DC-HITMAN,5,1544,1,29,1544
rahugur,6,1623,1,21,1543
PaneerPakora,14,1636,26,46,1538
kriti16,11,1533,6,66,1533
insomniac,28,1654,3,64,1525
nitishp,61,1611,20,125,1523
kundan2510,3,1686,3,17,1515
rarora7777,5,1515,5,21,1515
hegde,20,1839,14,67,1512
zargles,3,1517,1,12,1489
pravsin,1,1487,0,6,1487
asbaloda,11,1685,2,39,1486
